"ID;""RegioS"";""Perioden"";""PrijsindexVerkoopprijzen_1"";""OntwikkelingTOVVoorgaandePeriode_2"";""OntwikkelingTOVEenJaarEerder_3"";""VerkochteWoningen_4"";""OntwikkelingTOVVoorgaandePeriode_5"";""OntwikkelingTOVEenJaarEerder_6"";""GemiddeldeVerkoopprijs_7"";""TotaleWaardeVerkoopprijzen_8"""
"584;""LD04"";""2014KW02"";""    97.7"";""     0.7"";""     0.9"";""    6832"";""    15.7"";""    49.4"";""  214943"";""    1468"""
"585;""LD04"";""2014KW03"";""    98.6"";""     0.9"";""     1.7"";""    7794"";""    14.1"";""    32.1"";""  218191"";""    1701"""
"586;""LD04"";""2014KW04"";""    98.3"";""    -0.3"";""     1.8"";""   10811"";""    38.7"";""    42.7"";""  218589"";""    2363"""
"587;""LD04"";""2014JJ00"";""    97.9"";""     0.6"";""     0.6"";""   31341"";""    38.4"";""    38.4"";""  216276"";""    6778"""
"588;""LD04"";""2015KW01"";""    98.8"";""     0.5"";""     1.9"";""    6774"";""   -37.3"";""    14.7"";""  215522"";""    1460"""
"589;""LD04"";""2015KW02"";""    99.5"";""     0.7"";""     1.9"";""    8149"";""    20.3"";""    19.3"";""  222743"";""    1815"""
"590;""LD04"";""2015KW03"";""   100.7"";""     1.2"";""     2.2"";""   10176"";""    24.9"";""    30.6"";""  227012"";""    2310"""
"591;""LD04"";""2015KW04"";""   100.9"";""     0.2"";""     2.6"";""   10373"";""     1.9"";""    -4.1"";""  224499"";""    2329"""
"592;""LD04"";""2015JJ00"";""   100.0"";""     2.2"";""     2.2"";""   35472"";""    13.2"";""    13.2"";""  223102"";""    7914"""
"593;""LD04"";""2016KW01"";""   102.2"";""     1.3"";""     3.4"";""    8208"";""   -20.9"";""    21.2"";""  227187"";""    1865"""
"594;""LD04"";""2016KW02"";""   102.9"";""     0.7"";""     3.4"";""    9982"";""    21.6"";""    22.5"";""  232185"";""    2318"""
"595;""LD04"";""2016KW03"";""   104.8"";""     1.8"";""     4.0"";""   12222"";""    22.4"";""    20.1"";""  237536"";""    2903"""
"596;""LD04"";""2016KW04"";""   105.8"";""     0.9"";""     4.8"";""   12711"";""     4.0"";""    22.5"";""  238276"";""    3029"""
"597;""LD04"";""2016JJ00"";""   103.9"";""     3.9"";""     3.9"";""   43123"";""    21.6"";""    21.6"";""  234546"";""   10114"""
"598;""LD04"";""2017KW01"";""   107.3"";""     1.4"";""     5.0"";""   11436"";""   -10.0"";""    39.3"";""  246596"";""    2820"""
"599;""LD04"";""2017KW02"";""   109.0"";""     1.6"";""     6.0"";""   12464"";""     9.0"";""    24.9"";""  251890"";""    3140"""
"600;""LD04"";""2017KW03"";""   110.7"";""     1.5"";""     5.7"";""   12844"";""     3.0"";""     5.1"";""  253647"";""    3258"""
"601;""LD04"";""2017KW04"";""   112.5"";""     1.6"";""     6.3"";""   14260"";""    11.0"";""    12.2"";""  256800"";""    3662"""
"602;""LD04"";""2017JJ00"";""   109.9"";""     5.7"";""     5.7"";""   51004"";""    18.3"";""    18.3"";""  252518"";""   12879"""
"603;""LD04"";""2018KW01"";""   115.4"";""     2.6"";""     7.6"";""   11169"";""   -21.7"";""    -2.3"";""  265664"";""    2967"""
"604;""LD04"";""2018KW02"";""   116.9"";""     1.2"";""     7.2"";""   11606"";""     3.9"";""    -6.9"";""  271651"";""    3153"""
"605;""LD04"";""2018KW03"";""   119.7"";""     2.4"";""     8.1"";""   11980"";""     3.2"";""    -6.7"";""  273723"";""    3279"""
"606;""LD04"";""2018KW04"";""   121.2"";""     1.3"";""     7.7"";""   12346"";""     3.1"";""   -13.4"";""  280195"";""    3459"""
"607;""LD04"";""2018JJ00"";""   118.3"";""     7.6"";""     7.6"";""   47101"";""    -7.7"";""    -7.7"";""  272998"";""   12858"""
"608;""LD04"";""2019KW01"";""   123.5"";""     1.9"";""     7.0"";""    9973"";""   -19.2"";""   -10.7"";""  285767"";""    2850"""
"609;""LD04"";""2019KW02"";""   125.3"";""     1.5"";""     7.2"";""   11142"";""    11.7"";""    -4.0"";""  287496"";""    3203"""
"610;""PV20"";""1995KW01"";""    42.8"";"""";"""";""    1000"";"""";"""";""   66476"";""      66"""
"611;""PV20"";""1995KW02"";""    42.8"";""     0.1"";"""";""    1224"";""    22.4"";"""";""   66552"";""      81"""
"612;""PV20"";""1995KW03"";""    44.0"";""     2.8"";"""";""    1487"";""    21.5"";"""";""   70076"";""     104"""
"613;""PV20"";""1995KW04"";""    44.4"";""     0.9"";"""";""    1801"";""    21.1"";"""";""   67849"";""     122"""
"614;""PV20"";""1995JJ00"";""    43.5"";"""";"""";""    5512"";"""";"""";""   67913"";""     374"""
"615;""PV20"";""1996KW01"";""    45.7"";""     2.8"";""     6.8"";""    1355"";""   -24.8"";""    35.5"";""   69162"";""      94"""
"616;""PV20"";""1996KW02"";""    47.1"";""     3.0"";""     9.9"";""    1652"";""    21.9"";""    35.0"";""   71210"";""     118"""
"617;""PV20"";""1996KW03"";""    48.2"";""     2.3"";""     9.4"";""    1780"";""     7.7"";""    19.7"";""   74126"";""     132"""
"618;""PV20"";""1996KW04"";""    49.1"";""     1.9"";""    10.5"";""    1934"";""     8.7"";""     7.4"";""   74476"";""     144"""
"619;""PV20"";""1996JJ00"";""    47.5"";""     9.2"";""     9.2"";""    6721"";""    21.9"";""    21.9"";""   72509"";""     487"""
"620;""PV20"";""1997KW01"";""    50.0"";""     1.8"";""     9.4"";""    1315"";""   -32.0"";""    -3.0"";""   75620"";""      99"""
"621;""PV20"";""1997KW02"";""    50.7"";""     1.5"";""     7.8"";""    1891"";""    43.8"";""    14.5"";""   79193"";""     150"""
"622;""PV20"";""1997KW03"";""    52.2"";""     2.9"";""     8.4"";""    1767"";""    -6.6"";""    -0.7"";""   80506"";""     142"""
"623;""PV20"";""1997KW04"";""    52.8"";""     1.1"";""     7.5"";""    1807"";""     2.3"";""    -6.6"";""   80900"";""     146"""
"624;""PV20"";""1997JJ00"";""    51.4"";""     8.2"";""     8.2"";""    6780"";""     0.9"";""     0.9"";""   79297"";""     538"""
"625;""PV20"";""1998KW01"";""    53.7"";""     1.7"";""     7.4"";""    1300"";""   -28.1"";""    -1.1"";""   79832"";""     104"""
"626;""PV20"";""1998KW02"";""    54.1"";""     0.9"";""     6.7"";""    1741"";""    33.9"";""    -7.9"";""   81650"";""     142"""
"627;""PV20"";""1998KW03"";""    55.8"";""     3.0"";""     6.9"";""    1878"";""     7.9"";""     6.3"";""   88440"";""     166"""
"628;""PV20"";""1998KW04"";""    57.4"";""     2.9"";""     8.8"";""    2052"";""     9.3"";""    13.6"";""   86471"";""     177"""
"629;""PV20"";""1998JJ00"";""    55.2"";""     7.5"";""     7.5"";""    6971"";""     2.8"";""     2.8"";""   84559"";""     589"""
"630;""PV20"";""1999KW01"";""    57.7"";""     0.6"";""     7.6"";""    1582"";""   -22.9"";""    21.7"";""   89943"";""     142"""
"631;""PV20"";""1999KW02"";""    60.2"";""     4.3"";""    11.2"";""    1918"";""    21.2"";""    10.2"";""   93023"";""     178"""
"632;""PV20"";""1999KW03"";""    62.7"";""     4.1"";""    12.4"";""    2268"";""    18.2"";""    20.8"";""   98747"";""     224"""
"633;""PV20"";""1999KW04"";""    64.5"";""     3.0"";""    12.4"";""    2175"";""    -4.1"";""     6.0"";""  100441"";""     218"""
"634;""PV20"";""1999JJ00"";""    61.3"";""    10.9"";""    10.9"";""    7943"";""    13.9"";""    13.9"";""   96075"";""     763"""
"635;""PV20"";""2000KW01"";""    66.6"";""     3.2"";""    15.3"";""    1482"";""   -31.9"";""    -6.3"";""  105255"";""     156"""
"636;""PV20"";""2000KW02"";""    69.6"";""     4.5"";""    15.5"";""    1674"";""    13.0"";""   -12.7"";""  108299"";""     181"""
"637;""PV20"";""2000KW03"";""    73.3"";""     5.3"";""    16.9"";""    1839"";""     9.9"";""   -18.9"";""  115044"";""     212"""
"638;""PV20"";""2000KW04"";""    75.3"";""     2.7"";""    16.6"";""    1876"";""     2.0"";""   -13.7"";""  116797"";""     219"""
"639;""PV20"";""2000JJ00"";""    71.2"";""    16.1"";""    16.1"";""    6871"";""   -13.5"";""   -13.5"";""  111768"";""     768"""
"640;""PV20"";""2001KW01"";""    77.2"";""     2.6"";""    15.9"";""    1341"";""   -28.5"";""    -9.5"";""  119178"";""     160"""
"641;""PV20"";""2001KW02"";""    79.7"";""     3.3"";""    14.6"";""    1687"";""    25.8"";""     0.8"";""  125327"";""     211"""
"642;""PV20"";""2001KW03"";""    84.2"";""     5.6"";""    15.0"";""    1998"";""    18.4"";""     8.6"";""  132616"";""     265"""
"643;""PV20"";""2001KW04"";""    85.0"";""     0.9"";""    12.9"";""    1824"";""    -8.7"";""    -2.8"";""  136490"";""     249"""
"644;""PV20"";""2001JJ00"";""    81.5"";""    14.6"";""    14.6"";""    6850"";""    -0.3"";""    -0.3"";""  129222"";""     885"""
"645;""PV20"";""2002KW01"";""    87.3"";""     2.7"";""    13.1"";""    1453"";""   -20.3"";""     8.4"";""  135510"";""     197"""
"646;""PV20"";""2002KW02"";""    89.0"";""     2.0"";""    11.7"";""    1752"";""    20.6"";""     3.9"";""  138403"";""     242"""
"647;""PV20"";""2002KW03"";""    91.3"";""     2.5"";""     8.3"";""    1875"";""     7.0"";""    -6.2"";""  146470"";""     275"""
"648;""PV20"";""2002KW04"";""    91.1"";""    -0.2"";""     7.2"";""    1821"";""    -2.9"";""    -0.2"";""  143886"";""     262"""
"649;""PV20"";""2002JJ00"";""    89.7"";""    10.0"";""    10.0"";""    6901"";""     0.7"";""     0.7"";""  141432"";""     976"""
"650;""PV20"";""2003KW01"";""    93.4"";""     2.5"";""     7.0"";""    1318"";""   -27.6"";""    -9.3"";""  144162"";""     190"""
"651;""PV20"";""2003KW02"";""    94.6"";""     1.3"";""     6.3"";""    1667"";""    26.5"";""    -4.9"";""  147774"";""     246"""
"652;""PV20"";""2003KW03"";""    96.4"";""     1.9"";""     5.7"";""    1760"";""     5.6"";""    -6.1"";""  149559"";""     263"""
"653;""PV20"";""2003KW04"";""    96.5"";""     0.1"";""     6.0"";""    1958"";""    11.3"";""     7.5"";""  149920"";""     294"""
"654;""PV20"";""2003JJ00"";""    95.2"";""     6.2"";""     6.2"";""    6703"";""    -2.9"";""    -2.9"";""  148159"";""     993"""
"655;""PV20"";""2004KW01"";""    98.4"";""     1.9"";""     5.4"";""    1330"";""   -32.1"";""     0.9"";""  148888"";""     198"""
"656;""PV20"";""2004KW02"";""    99.3"";""     1.0"";""     5.0"";""    1607"";""    20.8"";""    -3.6"";""  156129"";""     251"""
"657;""PV20"";""2004KW03"";""   102.3"";""     3.0"";""     6.1"";""    1816"";""    13.0"";""     3.2"";""  159717"";""     290"""
"658;""PV20"";""2004KW04"";""   102.1"";""    -0.2"";""     5.8"";""    1915"";""     5.5"";""    -2.2"";""  154229"";""     295"""
"659;""PV20"";""2004JJ00"";""   100.5"";""     5.6"";""     5.6"";""    6668"";""    -0.5"";""    -0.5"";""  155116"";""    1034"""
"660;""PV20"";""2005KW01"";""   105.0"";""     2.9"";""     6.7"";""    1299"";""   -32.2"";""    -2.3"";""  162624"";""     211"""
"661;""PV20"";""2005KW02"";""   107.0"";""     1.9"";""     7.7"";""    1645"";""    26.6"";""     2.4"";""  167051"";""     275"""
"662;""PV20"";""2005KW03"";""   109.4"";""     2.3"";""     7.0"";""    1997"";""    21.4"";""    10.0"";""  170018"";""     340"""
"663;""PV20"";""2005KW04"";""   110.7"";""     1.2"";""     8.4"";""    1896"";""    -5.1"";""    -1.0"";""  170671"";""     324"""
"664;""PV20"";""2005JJ00"";""   108.0"";""     7.5"";""     7.5"";""    6837"";""     2.5"";""     2.5"";""  168081"";""    1149"""
"665;""PV20"";""2006KW01"";""   112.0"";""     1.2"";""     6.6"";""    1550"";""   -18.2"";""    19.3"";""  169946"";""     263"""
"666;""PV20"";""2006KW02"";""   114.4"";""     2.1"";""     6.9"";""    1743"";""    12.5"";""     6.0"";""  172733"";""     301"""
"667;""PV20"";""2006KW03"";""   115.4"";""     0.9"";""     5.5"";""    1824"";""     4.6"";""    -8.7"";""  184728"";""     337"""
"668;""PV20"";""2006KW04"";""   115.8"";""     0.4"";""     4.6"";""    1935"";""     6.1"";""     2.1"";""  182790"";""     354"""
"669;""PV20"";""2006JJ00"";""   114.4"";""     5.9"";""     5.9"";""    7052"";""     3.1"";""     3.1"";""  177983"";""    1255"""
"670;""PV20"";""2007KW01"";""   117.4"";""     1.4"";""     4.8"";""    1507"";""   -22.1"";""    -2.8"";""  183867"";""     277"""
"671;""PV20"";""2007KW02"";""   117.0"";""    -0.3"";""     2.3"";""    1757"";""    16.6"";""     0.8"";""  185893"";""     327"""
"672;""PV20"";""2007KW03"";""   119.1"";""     1.8"";""     3.2"";""    1778"";""     1.2"";""    -2.5"";""  187338"";""     333"""
"673;""PV20"";""2007KW04"";""   119.1"";""     0.0"";""     2.8"";""    1808"";""     1.7"";""    -6.6"";""  190110"";""     344"""
"674;""PV20"";""2007JJ00"";""   118.1"";""     3.3"";""     3.3"";""    6850"";""    -2.9"";""    -2.9"";""  186935"";""    1281"""
"675;""PV20"";""2008KW01"";""   120.2"";""     0.9"";""     2.4"";""    1332"";""   -26.3"";""   -11.6"";""  188678"";""     251"""
"676;""PV20"";""2008KW02"";""   119.9"";""    -0.3"";""     2.5"";""    1529"";""    14.8"";""   -13.0"";""  186068"";""     284"""
"677;""PV20"";""2008KW03"";""   121.2"";""     1.1"";""     1.8"";""    1654"";""     8.2"";""    -7.0"";""  185925"";""     308"""
"678;""PV20"";""2008KW04"";""   120.9"";""    -0.2"";""     1.5"";""    1478"";""   -10.6"";""   -18.3"";""  191961"";""     284"""
"679;""PV20"";""2008JJ00"";""   120.5"";""     2.0"";""     2.0"";""    5993"";""   -12.5"";""   -12.5"";""  188062"";""    1127"""
"680;""PV20"";""2009KW01"";""   117.3"";""    -3.0"";""    -2.4"";""     912"";""   -38.3"";""   -31.5"";""  186939"";""     170"""
"681;""PV20"";""2009KW02"";""   115.2"";""    -1.7"";""    -3.9"";""    1074"";""    17.8"";""   -29.8"";""  175144"";""     188"""
"682;""PV20"";""2009KW03"";""   116.0"";""     0.7"";""    -4.2"";""    1140"";""     6.1"";""   -31.1"";""  177097"";""     202"""
"683;""PV20"";""2009KW04"";""   114.3"";""    -1.5"";""    -5.5"";""    1277"";""    12.0"";""   -13.6"";""  186403"";""     238"""
"684;""PV20"";""2009JJ00"";""   115.7"";""    -4.0"";""    -4.0"";""    4403"";""   -26.5"";""   -26.5"";""  181358"";""     799"""
"685;""PV20"";""2010KW01"";""   114.5"";""     0.2"";""    -2.3"";""     880"";""   -31.1"";""    -3.5"";""  173557"";""     153"""
"686;""PV20"";""2010KW02"";""   113.7"";""    -0.8"";""    -1.4"";""    1078"";""    22.5"";""     0.4"";""  178022"";""     192"""
"687;""PV20"";""2010KW03"";""   115.6"";""     1.7"";""    -0.4"";""    1202"";""    11.5"";""     5.4"";""  184848"";""     222"""
"688;""PV20"";""2010KW04"";""   113.3"";""    -1.9"";""    -0.8"";""    1187"";""    -1.2"";""    -7.0"";""  174119"";""     207"""
"689;""PV20"";""2010JJ00"";""   114.3"";""    -1.2"";""    -1.2"";""    4347"";""    -1.3"";""    -1.3"";""  177940"";""     774"""
"690;""PV20"";""2011KW01"";""   113.7"";""     0.3"";""    -0.7"";""     956"";""   -19.5"";""     8.6"";""  185621"";""     177"""
"691;""PV20"";""2011KW02"";""   111.1"";""    -2.3"";""    -2.3"";""     979"";""     2.4"";""    -9.2"";""  177576"";""     174"""
"692;""PV20"";""2011KW03"";""   109.5"";""    -1.4"";""    -5.3"";""    1118"";""    14.2"";""    -7.0"";""  179246"";""     200"""
"693;""PV20"";""2011KW04"";""   108.5"";""    -0.9"";""    -4.3"";""    1040"";""    -7.0"";""   -12.4"";""  180299"";""     188"""
"694;""PV20"";""2011JJ00"";""   110.7"";""    -3.1"";""    -3.1"";""    4093"";""    -5.8"";""    -5.8"";""  180603"";""     739"""
"695;""PV20"";""2012KW01"";""   106.6"";""    -1.7"";""    -6.3"";""     718"";""   -31.0"";""   -24.9"";""  180420"";""     130"""
"696;""PV20"";""2012KW02"";""   105.4"";""    -1.1"";""    -5.1"";""    1083"";""    50.8"";""    10.6"";""  177119"";""     192"""
"697;""PV20"";""2012KW03"";""   101.7"";""    -3.5"";""    -7.1"";""     807"";""   -25.5"";""   -27.8"";""  161958"";""     131"""
"698;""PV20"";""2012KW04"";""   100.9"";""    -0.8"";""    -7.0"";""    1114"";""    38.0"";""     7.1"";""  170793"";""     190"""
"699;""PV20"";""2012JJ00"";""   103.6"";""    -6.4"";""    -6.4"";""    3722"";""    -9.1"";""    -9.1"";""  172575"";""     642"""
"700;""PV20"";""2013KW01"";""   100.4"";""    -0.5"";""    -5.8"";""     684"";""   -38.6"";""    -4.7"";""  163465"";""     112"""
"701;""PV20"";""2013KW02"";""    97.7"";""    -2.7"";""    -7.3"";""     743"";""     8.6"";""   -31.4"";""  161735"";""     120"""
"702;""PV20"";""2013KW03"";""    97.7"";""     0.0"";""    -3.9"";""     998"";""    34.3"";""    23.7"";""  163543"";""     163"""
"703;""PV20"";""2013KW04"";""    96.4"";""    -1.4"";""    -4.4"";""    1165"";""    16.7"";""     4.6"";""  164624"";""     192"""
"704;""PV20"";""2013JJ00"";""    98.1"";""    -5.4"";""    -5.4"";""    3590"";""    -3.5"";""    -3.5"";""  163505"";""     587"""
"705;""PV20"";""2014KW01"";""    96.4"";""    -0.1"";""    -4.0"";""     877"";""   -24.7"";""    28.2"";""  157990"";""     139"""
"706;""PV20"";""2014KW02"";""    97.6"";""     1.3"";""    -0.1"";""     982"";""    12.0"";""    32.2"";""  168674"";""     166"""
"707;""PV20"";""2014KW03"";""    97.6"";""     0.1"";""    -0.1"";""    1225"";""    24.7"";""    22.7"";""  164791"";""     202"""
"708;""PV20"";""2014KW04"";""    97.7"";""     0.1"";""     1.4"";""    1664"";""    35.8"";""    42.8"";""  169054"";""     281"""
"709;""PV20"";""2014JJ00"";""    97.3"";""    -0.8"";""    -0.8"";""    4748"";""    32.3"";""    32.3"";""  165832"";""     787"""
"710;""PV20"";""2015KW01"";""    98.9"";""     1.2"";""     2.7"";""    1054"";""   -36.7"";""    20.2"";""  165317"";""     174"""
"711;""PV20"";""2015KW02"";""   100.2"";""     1.2"";""     2.6"";""    1237"";""    17.4"";""    26.0"";""  174611"";""     216"""
"712;""PV20"";""2015KW03"";""   100.3"";""     0.1"";""     2.7"";""    1527"";""    23.4"";""    24.7"";""  171650"";""     262"""
"713;""PV20"";""2015KW04"";""   100.6"";""     0.3"";""     3.0"";""    1602"";""     4.9"";""    -3.7"";""  173630"";""     278"""
"714;""PV20"";""2015JJ00"";""   100.0"";""     2.7"";""     2.7"";""    5420"";""    14.2"";""    14.2"";""  171679"";""     931"""
"715;""PV20"";""2016KW01"";""   101.6"";""     1.0"";""     2.7"";""    1304"";""   -18.6"";""    23.7"";""  167360"";""     218"""
"716;""PV20"";""2016KW02"";""   102.5"";""     0.9"";""     2.4"";""    1558"";""    19.5"";""    26.0"";""  176810"";""     275"""
"717;""PV20"";""2016KW03"";""   107.0"";""     4.4"";""     6.7"";""    1825"";""    17.1"";""    19.5"";""  188077"";""     343"""
"718;""PV20"";""2016KW04"";""   107.4"";""     0.4"";""     6.8"";""    1748"";""    -4.2"";""     9.1"";""  186032"";""     325"""
"719;""PV20"";""2016JJ00"";""   104.7"";""     4.7"";""     4.7"";""    6435"";""    18.7"";""    18.7"";""  180595"";""    1162"""
"720;""PV20"";""2017KW01"";""   107.8"";""     0.4"";""     6.1"";""    1647"";""    -5.8"";""    26.3"";""  191895"";""     316"""
"721;""PV20"";""2017KW02"";""   109.0"";""     1.1"";""     6.3"";""    1737"";""     5.5"";""    11.5"";""  198359"";""     345"""
"722;""PV20"";""2017KW03"";""   112.2"";""     2.9"";""     4.8"";""    1908"";""     9.8"";""     4.5"";""  194219"";""     371"""
"723;""PV20"";""2017KW04"";""   113.3"";""     1.0"";""     5.4"";""    2005"";""     5.1"";""    14.7"";""  195589"";""     392"""
"724;""PV20"";""2017JJ00"";""   110.6"";""     5.7"";""     5.7"";""    7297"";""    13.4"";""    13.4"";""  195057"";""    1423"""
"725;""PV20"";""2018KW01"";""   115.1"";""     1.6"";""     6.7"";""    1637"";""   -18.4"";""    -0.6"";""  199301"";""     326"""
"726;""PV20"";""2018KW02"";""   117.5"";""     2.1"";""     7.8"";""    1747"";""     6.7"";""     0.6"";""  201296"";""     352"""
"727;""PV20"";""2018KW03"";""   120.1"";""     2.2"";""     7.0"";""    1903"";""     8.9"";""    -0.3"";""  212317"";""     404"""
"728;""PV20"";""2018KW04"";""   121.1"";""     0.8"";""     6.9"";""    1846"";""    -3.0"";""    -7.9"";""  206017"";""     380"""
"729;""PV20"";""2018JJ00"";""   118.4"";""     7.1"";""     7.1"";""    7133"";""    -2.2"";""    -2.2"";""  205000"";""    1462"""
"730;""PV20"";""2019KW01"";""   122.8"";""     1.5"";""     6.8"";""    1564"";""   -15.3"";""    -4.5"";""  218536"";""     342"""
"731;""PV20"";""2019KW02"";""   124.2"";""     1.1"";""     5.7"";""    1823"";""    16.6"";""     4.4"";""  213320"";""     389"""
"732;""PV21"";""1995KW01"";""    40.1"";"""";"""";""    1294"";"""";"""";""   67118"";""      87"""
"733;""PV21"";""1995KW02"";""    41.2"";""     2.7"";"""";""    1705"";""    31.8"";"""";""   66453"";""     113"""
"734;""PV21"";""1995KW03"";""    41.9"";""     1.6"";"""";""    1710"";""     0.3"";"""";""   67741"";""     116"""
"735;""PV21"";""1995KW04"";""    43.5"";""     3.8"";"""";""    2147"";""    25.6"";"""";""   69942"";""     150"""
"736;""PV21"";""1995JJ00"";""    41.7"";"""";"""";""    6856"";"""";"""";""   67992"";""     466"""
"737;""PV21"";""1996KW01"";""    44.6"";""     2.5"";""    11.1"";""    1500"";""   -30.1"";""    15.9"";""   69808"";""     105"""
"738;""PV21"";""1996KW02"";""    47.1"";""     5.8"";""    14.3"";""    2098"";""    39.9"";""    23.1"";""   74108"";""     155"""
"739;""PV21"";""1996KW03"";""    48.5"";""     2.9"";""    15.7"";""    1961"";""    -6.5"";""    14.7"";""   76778"";""     151"""
"740;""PV21"";""1996KW04"";""    49.5"";""     2.0"";""    13.8"";""    2084"";""     6.3"";""    -2.9"";""   75617"";""     158"""
"741;""PV21"";""1996JJ00"";""    47.4"";""    13.7"";""    13.7"";""    7643"";""    11.5"";""    11.5"";""   74361"";""     568"""
"742;""PV21"";""1997KW01"";""    49.3"";""    -0.3"";""    10.7"";""    1468"";""   -29.6"";""    -2.1"";""   76268"";""     112"""
"743;""PV21"";""1997KW02"";""    51.9"";""     5.3"";""    10.2"";""    2057"";""    40.1"";""    -2.0"";""   80053"";""     165"""
"744;""PV21"";""1997KW03"";""    52.6"";""     1.2"";""     8.4"";""    1950"";""    -5.2"";""    -0.6"";""   85598"";""     167"""
"745;""PV21"";""1997KW04"";""    53.6"";""     1.9"";""     8.3"";""    2191"";""    12.4"";""     5.1"";""   85207"";""     187"""
"746;""PV21"";""1997JJ00"";""    51.9"";""     9.3"";""     9.3"";""    7666"";""     0.3"";""     0.3"";""   82212"";""     630"""
"747;""PV21"";""1998KW01"";""    55.5"";""     3.5"";""    12.4"";""    1370"";""   -37.5"";""    -6.7"";""   84669"";""     116"""
"748;""PV21"";""1998KW02"";""    56.6"";""     2.1"";""     9.0"";""    1957"";""    42.8"";""    -4.9"";""   89306"";""     175"""
"749;""PV21"";""1998KW03"";""    58.2"";""     2.7"";""    10.6"";""    1933"";""    -1.2"";""    -0.9"";""   93498"";""     181"""
"750;""PV21"";""1998KW04"";""    59.4"";""     2.1"";""    10.8"";""    2277"";""    17.8"";""     3.9"";""   94263"";""     215"""
"751;""PV21"";""1998JJ00"";""    57.4"";""    10.7"";""    10.7"";""    7537"";""    -1.7"";""    -1.7"";""   91036"";""     686"""
"752;""PV21"";""1999KW01"";""    61.1"";""     2.8"";""    10.1"";""    1689"";""   -25.8"";""    23.3"";""   99623"";""     168"""
"753;""PV21"";""1999KW02"";""    63.5"";""     4.1"";""    12.2"";""    2174"";""    28.7"";""    11.1"";""  101470"";""     221"""
"754;""PV21"";""1999KW03"";""    67.1"";""     5.6"";""    15.3"";""    2390"";""     9.9"";""    23.6"";""  111593"";""     267"""
"755;""PV21"";""1999KW04"";""    69.3"";""     3.3"";""    16.8"";""    2332"";""    -2.4"";""     2.4"";""  111023"";""     259"""
"756;""PV21"";""1999JJ00"";""    65.3"";""    13.7"";""    13.7"";""    8585"";""    13.9"";""    13.9"";""  106520"";""     914"""
"757;""PV21"";""2000KW01"";""    72.4"";""     4.5"";""    18.6"";""    1500"";""   -35.7"";""   -11.2"";""  118754"";""     178"""
"758;""PV21"";""2000KW02"";""    76.5"";""     5.6"";""    20.4"";""    1806"";""    20.4"";""   -16.9"";""  122214"";""     221"""
"759;""PV21"";""2000KW03"";""    80.5"";""     5.2"";""    20.0"";""    1983"";""     9.8"";""   -17.0"";""  130438"";""     259"""
"760;""PV21"";""2000KW04"";""    81.2"";""     0.9"";""    17.1"";""    2287"";""    15.3"";""    -1.9"";""  129344"";""     296"""
"761;""PV21"";""2000JJ00"";""    77.7"";""    19.0"";""    19.0"";""    7576"";""   -11.8"";""   -11.8"";""  125834"";""     953"""
"762;""PV21"";""2001KW01"";""    84.7"";""     4.2"";""    16.9"";""    1511"";""   -33.9"";""     0.7"";""  132623"";""     200"""
"763;""PV21"";""2001KW02"";""    87.0"";""     2.7"";""    13.7"";""    2030"";""    34.3"";""    12.4"";""  138998"";""     282"""
"764;""PV21"";""2001KW03"";""    89.4"";""     2.8"";""    11.1"";""    2098"";""     3.4"";""     5.8"";""  144582"";""     303"""
"765;""PV21"";""2001KW04"";""    90.9"";""     1.6"";""    11.9"";""    2324"";""    10.8"";""     1.6"";""  144641"";""     336"""
"766;""PV21"";""2001JJ00"";""    88.0"";""    13.3"";""    13.3"";""    7963"";""     5.1"";""     5.1"";""  140906"";""    1122"""
"767;""PV21"";""2002KW01"";""    92.0"";""     1.1"";""     8.6"";""    1783"";""   -23.3"";""    18.0"";""  152022"";""     271"""
"768;""PV21"";""2002KW02"";""    93.3"";""     1.4"";""     7.3"";""    1992"";""    11.7"";""    -1.9"";""  156411"";""     312"""
"769;""PV21"";""2002KW03"";""    95.6"";""     2.4"";""     6.8"";""    2065"";""     3.7"";""    -1.6"";""  158427"";""     327"""
"770;""PV21"";""2002KW04"";""    95.2"";""    -0.4"";""     4.7"";""    2034"";""    -1.5"";""   -12.5"";""  157777"";""     321"""
"771;""PV21"";""2002JJ00"";""    94.0"";""     6.8"";""     6.8"";""    7874"";""    -1.1"";""    -1.1"";""  156299"";""    1231"""
"772;""PV21"";""2003KW01"";""    98.8"";""     3.8"";""     7.4"";""    1568"";""   -22.9"";""   -12.1"";""  160591"";""     252"""
"773;""PV21"";""2003KW02"";""   100.7"";""     1.9"";""     7.9"";""    1866"";""    19.0"";""    -6.3"";""  162106"";""     302"""
"774;""PV21"";""2003KW03"";""    99.7"";""    -0.9"";""     4.4"";""    2275"";""    21.9"";""    10.2"";""  154884"";""     352"""
"775;""PV21"";""2003KW04"";""   102.6"";""     2.9"";""     7.8"";""    2283"";""     0.4"";""    12.2"";""  167020"";""     381"""
"776;""PV21"";""2003JJ00"";""   100.4"";""     6.9"";""     6.9"";""    7992"";""     1.5"";""     1.5"";""  161157"";""    1288"""
"777;""PV21"";""2004KW01"";""   103.9"";""     1.3"";""     5.2"";""    1452"";""   -36.4"";""    -7.4"";""  166522"";""     242"""
